channel_id,frequency_to_check,episode_name
UCab9Q1noXoCvxFT2lsddSJw,12,rav_mergui
UC9YrWm1ef0uLV2EGOvXXAAw,12,rav_itshak_cohen
UCxmbAfrpiMYTrgCLmKSRSLQ,12,rav_yaakov_sitruk
UCOceTa9LMhZhTYjNaLujpWg,12,rav_eitan_galam
